"","Datetime","Tweet.URL","Tweet.Id","Tweet.User.Id","Text","Username","User.Location","replyCount","retweetCount","likeCount","quoteCount","language","retweetedTweet","quotedTweet","mentionedUsers","clean_text"
"3786","2020-03-21 04:08:11+00:00","https://twitter.com/dwallbank/status/1241215001534189568",1241215001534189568,19785811,"BREAKING --&gt; Two people died of the coronavirus in Singapore on Saturday, the first confirmed fatalities in the city-state https://t.co/3UBay8hkKq via @business","dwallbank","Singapore",0,0,1,0,"en",NA,"","[User(username='business', displayname='Bloomberg', id=34713362, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","breaking gt two people died coronavirus singapore saturday first confirmed fatalities city state"
"3787","2020-03-21 02:58:59+00:00","https://twitter.com/MargrietVonno/status/1241197586746236931",1241197586746236928,266481056,"Singapore works on contact tracing #Covid_19 You can download the app: trace-together: https://t.co/WdZbEzmtBF","MargrietVonno","Singapore, Singapore",0,0,0,1,"en",NA,"","","singapore works contact tracing can download app trace together"
"3788","2020-03-21 02:53:32+00:00","https://twitter.com/MargrietVonno/status/1241196215124914177",1241196215124914176,266481056,"Friday, 20 Mach 2020, EU and ASEAN ministers convened a video conference on #Covid_19 #EU #ASEAN #together @NLinSingapore https://t.co/jE9sQfijrf","MargrietVonno","Singapore, Singapore",0,0,0,0,"en",NA,"","[User(username='NLinSingapore', displayname='NLinSingapore', id=341875902, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","friday mach eu asean ministers convened video conference"
"3789","2020-03-21 02:33:20+00:00","https://twitter.com/homiliai/status/1241191131917848576",1241191131917848576,16006707,"Hi #Covid_19, Laura needs an answer, pls reply thx https://t.co/J9ILJ08wWy","homiliai","Singapore",3,0,1,0,"en",NA,"https://twitter.com/IngrahamAngle/status/1240967734319558656","","hi laura needs answer pls reply thx"
"3790","2020-03-21 02:14:08+00:00","https://twitter.com/oscarjoshua69/status/1241186297344962560",1241186297344962560,620569889,"Phyisical distancing, not easy to apply when queing at bank. I stood 1 metre away frm the person infront of me, suddenly someone just cut the que thinking Im not in the que #Covid_19 #COVID19singapore https://t.co/SOa1ObuTIt","oscarjoshua69","Singapore",0,0,0,0,"en",NA,"","","phyisical distancing easy apply queing bank stood metre away frm person infront suddenly someone just cut que thinking im que"
"3791","2020-03-21 01:54:21+00:00","https://twitter.com/SulingLinCNA/status/1241181321793138688",1241181321793138688,836488722157744128,"The second wave begins. Imported cases may be the next #Covid_19 centre of gravity for countries beginning to recover. https://t.co/Jh6ZuiCor5","SulingLinCNA","Singapore",0,1,1,0,"en",NA,"https://twitter.com/ChannelNewsAsia/status/1241168038746927104","","second wave begins imported cases may next centre gravity countries beginning recover"
"3792","2020-03-21 01:29:49+00:00","https://twitter.com/leejanhau/status/1241175146393522176",1241175146393522176,899102209970810880,"Nice illustration on how good technique helps 
#covid19
#coronavirus
#pedsICU
#FlattenTheCurve https://t.co/jAVOd7tKsL","leejanhau","Singapore",0,1,1,0,"en",NA,"https://twitter.com/19criticalcare/status/1241173397087948804","","nice illustration good technique helps"
"3793","2020-03-21 01:09:03+00:00","https://twitter.com/Vijayanpraba1/status/1241169922144612357",1241169922144612352,1009794978195824640,"@Dr_Ecr_official @VijayFansTrends #Covid_19 very proud to our @vijaymakkaliyya 💪💪💪💪💪💪","Vijayanpraba1","Singapore",0,0,0,0,"en",NA,"","[User(username='Dr_Ecr_official', displayname='Dr.ECR.P.Saravanan', id=1129763230002270208, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='VijayFansTrends', displayname='Vijay Fans Trends', id=730088562, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","proud"
"3794","2020-03-21 00:50:32+00:00","https://twitter.com/reallymaxpower/status/1241165261245317121",1241165261245317120,1461828188,"@gtconway3d - 4 Americans died in Benghazi and we all agree that was too many. How many investigations will go into the Covid-19 handling by Republicans looking for answers?","reallymaxpower","",0,0,0,0,"en",NA,"","[User(username='gtconway3d', displayname='George Conway', id=471677441, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","americans died benghazi agree many many investigations go covid handling republicans looking answers"
"3795","2020-03-21 00:39:41+00:00","https://twitter.com/uriekid/status/1241162528735916033",1241162528735916032,60591256,"Because of covid-19: afraid beyond humanity.","uriekid","Neverland",0,0,0,0,"en",NA,"","","covid afraid beyond humanity"
